date,open,high,low,close,volume,amount,turnover,code,name,pct_chg
2020-01-02,48.60354964,49.39849132,48.42010156,49.09274452,15934570,765516493.15,1.397,002594,比亚迪,
2020-01-03,49.1233192,49.92845244,48.59335808,48.96025424,12993607,628361961.37,1.1391,002594,比亚迪,-0.2698775171268375
2020-01-06,48.29780284,50.13228364,48.09397164,49.20485168,16987138,822172472.98,1.4892,002594,比亚迪,0.4995836802664355
2020-01-07,49.23542636,49.429066,48.68508212,48.9704458,9340058,449013435.67,0.8188,002594,比亚迪,-0.47638773819386193
2020-01-08,48.4608678,49.2761926,48.0532054,48.18569568,11097445,529249404.07,0.9729,002594,比亚迪,-1.602497398543179
2020-01-09,48.664699,49.1233192,48.28761128,48.5627834,8921700,425352462.6,0.7822,002594,比亚迪,0.782571912013541
2020-01-10,48.57297496,48.57297496,47.50286116,47.81879952,10929463,512929719.08,0.9582,002594,比亚迪,-1.5320041972717746
2020-01-13,52.59864116,52.59864116,51.47756956,52.59864116,51882759,2662873914.8,4.5485,002594,比亚迪,9.995737425404938
2020-01-14,56.05358,57.06254444,54.015268,54.46369664,61497596,3356918724.91,5.3914,002594,比亚迪,3.5458244526254568
2020-01-15,55.04461556,55.798791,53.28147568,54.33120636,29870523,1594534514.3,2.6187,002594,比亚迪,-0.24326347305388962
2020-01-16,54.51465444,55.58476824,52.77189768,55.12614804,33573707,1778235678.36,2.9434,002594,比亚迪,1.463140123804152
2020-01-17,54.89174216,60.639782,54.2190992,59.0600902,53060038,3022542423.36,4.6517,002594,比亚迪,7.136254390830099
2020-01-20,58.3976388,61.0474444,57.582314,59.88560656,30077562,1742179866.54,2.6369,002594,比亚迪,1.3977566867989566
2020-01-21,58.82568432,58.83587588,57.6332718,57.80652832,20383657,1161444870.54,1.787,002594,比亚迪,-3.4717494894486056
2020-01-22,57.582314,61.658938,57.1746516,60.40537612,32797995,1927419433.55,2.8753,002594,比亚迪,4.495768688293378
2020-01-23,59.10085644,63.06537328,58.61166156,60.97610348,29158496,1735366427.87,2.5563,002594,比亚迪,0.944828749789095
2020-02-03,54.8815506,55.52361888,54.8815506,54.8815506,10039800,540735185.53,0.8802,002594,比亚迪,-9.994985793080403
2020-02-04,55.034424,58.60147,55.034424,57.43963216,36777530,2057907669.3,3.2242,002594,比亚迪,4.661095636026014
2020-02-05,58.8053012,63.187672,58.08170044,61.97487636,44623025,2698234964.68,3.912,002594,比亚迪,7.895670688431511
2020-02-06,59.5696682,62.0156426,59.5187104,61.913727,30113181,1792085752.62,2.64,002594,比亚迪,-0.09866798223976403
2020-02-07,61.90353544,61.90353544,57.74537896,59.0091324,32128159,1868897083.38,2.8166,002594,比亚迪,-4.691358024691361
2020-02-10,60.3340352,64.57372416,59.9773306,62.09717508,35279646,2143782477.47,3.0929,002594,比亚迪,5.233160621761668
2020-02-11,61.14936,61.27165872,59.39641168,60.17097024,19617574,1162310506.24,1.7198,002594,比亚迪,-3.101920236336775
2020-02-12,60.17097024,61.7608536,59.4677526,60.32384364,19745556,1171671704.85,1.7311,002594,比亚迪,0.2540650406503975
2020-02-13,59.620626,61.28185028,58.60147,58.6524278,23694703,1387055829.59,2.0773,002594,比亚迪,-2.7707383003885866
2020-02-14,58.66261936,59.0091324,57.52116464,57.9899764,21117383,1205977325.29,1.8513,002594,比亚迪,-1.1294526498696666
2020-02-17,58.00016796,59.68177536,58.00016796,59.60024288,20988900,1215249654.91,1.8401,002594,比亚迪,2.7768014059754043
2020-02-18,58.9072168,61.14936,58.87664212,60.60920732,22836532,1350970758.86,2.002,002594,比亚迪,1.692886456908349
2020-02-19,65.70498732,65.71517888,62.84115896,63.09594796,43747653,2773613068.11,3.8353,002594,比亚迪,4.102909029762891
2020-02-20,64.38008452,69.4045236,64.31893516,69.4045236,64939094,4366081680.35,5.6931,002594,比亚迪,9.998384752059453
2020-02-21,68.283452,69.57778012,66.93816608,68.79303,45518916,3046190980.67,3.9906,002594,比亚迪,-0.8810572687224738
2020-02-24,66.67318552,68.42613384,66.20437376,67.4681272,35796879,2351741646.73,3.1383,002594,比亚迪,-1.925925925925931
2020-02-25,65.6336464,73.57287164,65.39924052,72.2072026,40743409,2786635361.11,3.5719,002594,比亚迪,7.02416918429003
2020-02-26,71.11670568,77.2520248,70.321764,73.0734852,52276832,3774510844.19,4.583,002594,比亚迪,1.1997177134791759
2020-02-27,73.05310208,74.5512614,69.38414048,71.3918778,27269996,1912686987.02,2.3907,002594,比亚迪,-2.3012552301255096
2020-02-28,67.93693896,70.31157244,66.1941822,66.62222772,33825352,2251947903.34,2.9654,002594,比亚迪,-6.680942184154182
2020-03-02,66.8566336,68.51785788,65.225984,68.1305786,22564321,1492112197.82,1.9782,002594,比亚迪,2.264035490286087
2020-03-03,71.1370888,71.5447512,68.75226376,69.17011772,27425292,1880749812.21,2.4043,002594,比亚迪,1.5258040388930194
2020-03-04,68.2324942,69.0987768,65.95977632,67.85540648,18093253,1198529239.81,1.5862,002594,比亚迪,-1.9006925003683395
2020-03-05,68.30383512,68.91532872,66.754718,68.08981236,17000367,1128290419.9,1.4904,002594,比亚迪,0.34544908380895745
2020-03-06,66.754718,68.8439878,66.58146148,66.61203616,14720960,972613004.97,1.2906,002594,比亚迪,-2.1703337823678948
2020-03-09,64.50238324,64.50238324,60.31365208,60.5888242,29247882,1789143869.38,2.5641,002594,比亚迪,-9.042227662178714
2020-03-10,58.7033856,62.678094,58.42821348,61.32261652,26680523,1578089168.49,2.339,002594,比亚迪,1.2111017661900814
2020-03-11,61.93411012,62.3213894,59.7225416,59.875415,22221247,1327803130.2,1.9481,002594,比亚迪,-2.359980056506561
2020-03-12,58.40783036,58.76453496,56.9708204,58.12246668,23238254,1319050413.39,2.0373,002594,比亚迪,-2.927659574468078
2020-03-13,54.8305928,57.582314,53.3528166,56.72622296,21319807,1162290579.74,1.8691,002594,比亚迪,-2.4022444327546966
2020-03-16,57.67403804,58.42821348,54.91212528,54.91212528,23877348,1326361268.95,2.0933,002594,比亚迪,-3.197987782968026
2020-03-17,54.91212528,56.01281376,52.87381328,54.05603424,18091852,961588993.56,1.5861,002594,比亚迪,-1.5590200445434244
2020-03-18,54.61657004,55.71725852,53.01649512,53.08783604,17268432,925695049.5,1.5126,002594,比亚迪,-1.791101055806943
2020-03-19,53.10821916,53.52607312,50.83550128,52.34385216,19445000,993678521.17,1.7047,002594,比亚迪,-1.4014206181608757
2020-03-20,53.3018588,53.80124524,52.3846184,53.52607312,14829620,772921084.95,1.3001,002594,比亚迪,2.258566978193155
2020-03-23,51.212589,51.7731248,48.80738084,49.0723614,24273976,1190535685.04,2.1281,002594,比亚迪,-8.32063975628332
2020-03-24,50.20362456,50.83550128,48.29780284,50.68262788,20502711,1002130021.74,1.7974,002594,比亚迪,3.28141225337486
2020-03-25,52.5374918,53.8114368,52.01772224,53.250901,28978742,1504804536.94,2.5405,002594,比亚迪,5.067363764327371
2020-03-26,53.50569,56.23702808,52.59864116,55.30959612,29662084,1588496992.78,2.6004,002594,比亚迪,3.866028708133973
2020-03-27,56.4612424,57.1236938,55.48285264,55.82936568,22997249,1269534018.55,2.0161,002594,比亚迪,0.9397457158651257
2020-03-30,56.05358,58.88683368,55.92108972,57.30714188,32893740,1855914322.09,2.8837,002594,比亚迪,2.6469514421321616
2020-03-31,57.84729456,61.13916844,56.5122002,61.11878532,35017444,2037070401.56,3.0699,002594,比亚迪,6.651253779121458
2020-04-01,61.0474444,61.82200296,58.11227512,58.21419072,36556547,2139092105.55,3.2049,002594,比亚迪,-4.752376188094054
2020-04-02,57.7861452,57.7861452,55.8497488,57.67403804,23384169,1300691383.23,2.0501,002594,比亚迪,-0.9278711484593805
2020-04-03,57.67403804,57.67403804,55.96185596,56.05358,16918966,940495658.7,1.4833,002594,比亚迪,-2.8096836896978283
2020-04-07,57.52116464,58.01035952,56.6650736,57.38867436,18911589,1061432559.75,1.6579,002594,比亚迪,2.381818181818196
2020-04-08,56.8689048,56.8689048,56.09434624,56.37970992,12954327,717031923.64,1.1357,002594,比亚迪,-1.7581246670218431
2020-04-09,56.87909636,57.62308024,56.6141158,56.7160314,13333832,746729511.39,1.169,002594,比亚迪,0.5965292841648484
2020-04-10,57.35809968,57.35809968,55.1872974,55.61534292,13185472,727755054.05,1.1559,002594,比亚迪,-1.9407008086253286
2020-04-13,55.77840788,57.01158664,55.77840788,56.8689048,10255956,569833086.68,0.8991,002594,比亚迪,2.2539857064320934
2020-04-14,56.8689048,59.111048,56.44085928,59.02951552,23386305,1338857701.52,2.0502,002594,比亚迪,3.7992831541218575
2020-04-15,60.49710016,63.58514284,59.49832728,61.29204184,30622736,1847393286.1,2.6846,002594,比亚迪,3.8328729281768004
2020-04-16,61.2512756,62.4742628,60.1811618,61.15955156,16525891,992639139.03,1.4488,002594,比亚迪,-0.21616228799469228
2020-04-17,61.7608536,62.14813288,59.80407408,59.9263728,15649005,931863464.88,1.3719,002594,比亚迪,-2.0163306115647317
2020-04-20,60.5378664,60.5378664,59.27411296,59.98752216,10747360,630616732.03,0.9414,002594,比亚迪,0.10204081632652073
2020-04-21,59.620626,60.82323008,58.9072168,60.50729172,14714834,864113083.51,1.29,002594,比亚迪,0.8664627930683011
2020-04-22,59.5187104,61.14936,58.98874928,60.56844108,12145802,715492487.41,1.0639,002594,比亚迪,0.10106114199091021
2020-04-23,61.13916844,61.7098958,59.15181424,59.365837,11602798,686078406.94,1.0163,002594,比亚迪,-1.9855291940097608
2020-04-24,59.79388252,61.64874644,59.620626,59.85503188,13594893,806969227.69,1.1908,002594,比亚迪,0.8240343347639456
2020-04-27,60.15058712,60.22192804,57.96959328,58.07150888,13826532,799777332.94,1.2111,002594,比亚迪,-2.979737783075087
2020-04-28,58.091892,58.69319404,55.80898256,58.07150888,12865794,725365013.97,1.127,002594,比亚迪,0.0
2020-04-29,59.3148792,60.5888242,58.66261936,59.111048,16512556,964564485.88,1.4464,002594,比亚迪,1.7901017901017724
2020-04-30,59.94675592,61.74047048,59.63081756,61.10859376,21887625,1303496245.77,1.9172,002594,比亚迪,3.3793103448275907
2020-05-06,60.5378664,63.69725,60.2321196,63.37112008,23190623,1420097901.58,2.0314,002594,比亚迪,3.702468312208129
2020-05-07,63.36092852,63.36092852,61.12897688,61.24108404,22511802,1362997620.58,1.9719,002594,比亚迪,-3.361209392087483
2020-05-08,61.26146716,61.658938,60.4359508,60.92514568,17147173,1025569471.3,1.502,002594,比亚迪,-0.5158928274255237
2020-05-11,60.42575924,60.80284696,59.22315516,60.00790528,19071621,1121805579.78,1.6706,002594,比亚迪,-1.505520240883229
2020-05-12,60.01809684,60.27288584,59.3148792,60.26269428,10401966,610124974.38,0.9112,002594,比亚迪,0.4245923913043459
2020-05-13,60.26269428,60.894571,59.620626,60.12001244,11111516,657743992.7,0.9733,002594,比亚迪,-0.2367664468120978
2020-05-14,60.0282884,60.0282884,58.6524278,58.79510964,11836313,688315256.97,1.0368,002594,比亚迪,-2.2037633497203
2020-05-15,58.89702524,59.70215848,58.3976388,59.07028176,10277106,595823315.54,0.9002,002594,比亚迪,0.46801872074884177
2020-05-18,58.4995544,59.5187104,57.4803984,58.27534008,10474339,601110774.94,0.9175,002594,比亚迪,-1.345755693581785
2020-05-19,59.111048,59.7225416,58.856259,59.33526232,9404190,547143039.56,0.8238,002594,比亚迪,1.818817768450498
2020-05-20,59.8244572,61.4551068,59.79388252,60.14039556,16470785,981282457.34,1.4427,002594,比亚迪,1.3569220199244336
2020-05-21,60.24231116,60.50729172,58.10208356,58.2447654,12096788,697047198.03,1.0596,002594,比亚迪,-3.1520081342145456
2020-05-22,58.25495696,58.77472652,56.57334956,57.10331068,9234961,522767760.13,0.8089,002594,比亚迪,-1.9597550306211686
2020-05-25,57.10331068,57.6332718,56.36951836,57.60269712,5969703,334368698.21,0.5229,002594,比亚迪,0.8745315009816235
2020-05-26,57.8880608,59.49832728,57.8880608,59.4167948,9854368,570419227.99,0.8632,002594,比亚迪,3.149327671620661
2020-05-27,60.7416976,61.0984022,58.16323292,58.3976388,11361742,662802627.27,0.9952,002594,比亚迪,-1.715265866209259
