date,open,high,low,close,volume,amount,turnover,code,name,pct_chg
2020-01-02,7321.99464,7432.7333178,7244.10108,7334.9769,14809916,16696837095.0,1.1789,600519,贵州茅台,
2020-01-03,7250.59221,7250.59221,6990.297897,7001.0731728,13031878,14266380596.0,1.0374,600519,贵州茅台,-4.552212389380528
2020-01-06,6951.0914718,7094.155977,6927.983049,6997.3732287,6341478,6853917601.0,0.5048,600519,贵州茅台,-0.05284824210057826
2020-01-07,6994.192575,7133.75187,6987.052332,7104.7365189,4785359,5220697068.0,0.3809,600519,贵州茅台,1.5343370532194145
2020-01-08,7043.2006065,7111.032915,7027.1675154,7063.2581982,2500825,2720371915.0,0.1991,600519,贵州茅台,-0.5838122299068993
2020-01-09,7101.29622,7175.2301907,7075.3317,7157.769051,3740587,4110949814.0,0.2978,600519,贵州茅台,1.3380631168783408
2020-01-10,7198.66317,7244.0361687,7156.470825,7221.382125,3597587,3993457118.0,0.2864,600519,贵州茅台,0.8887276684501622
2020-01-13,7221.382125,7329.783996,7218.13656,7297.7827251,3851575,4325687959.0,0.3066,600519,贵州茅台,1.0579775280898929
2020-01-14,7297.328346,7301.8072257,7159.71639,7188.277362,3514465,3916300790.0,0.2798,600519,贵州茅台,-1.5005292323018504
2020-01-15,7198.7280813,7280.451408,7172.69865,7218.9804069,2602911,2895603674.0,0.2072,600519,贵州茅台,0.42712660285353365
2020-01-16,7262.7306231,7262.7306231,7156.9901154,7185.68091,2319165,2571593141.0,0.1846,600519,贵州茅台,-0.46127700898276336
2020-01-17,7205.1543,7223.1996414,7146.7990413,7188.926475,2347275,2599645144.0,0.1869,600519,贵州茅台,0.045167118337863243
2020-01-20,7217.2278018,7217.2278018,7023.40266,7081.82283,3539130,3858246844.0,0.2817,600519,贵州茅台,-1.4898419864559864
2020-01-21,7016.91153,7055.85831,6960.438699,6979.912089,3287405,3542441308.0,0.2617,600519,贵州茅台,-1.4390467461044887
2020-01-22,6945.5091,7036.38492,6850.6087794,6981.2752263,3620004,3875275065.0,0.2882,600519,贵州茅台,0.019529433646425787
2020-01-23,6984.45588,6984.45588,6731.30181,6833.861664,5346843,5638945742.0,0.4256,600519,贵州茅台,-2.1115563779044333
2020-02-03,6393.76305,6560.4552684,6361.3074,6516.5752296,12344288,12314991759.0,0.9827,600519,贵州茅台,-4.642857142857137
2020-02-04,6588.49695,6861.12441,6562.5973413,6737.8578513,6262418,6490469043.0,0.4985,600519,贵州茅台,3.3956888995139156
2020-02-05,6815.6865,6841.65102,6705.5320239,6815.6215887,4741824,4956355235.0,0.3775,600519,贵州茅台,1.1541314630880262
2020-02-06,6876.8978559,6977.96475,6828.7985826,6952.00023,4717121,5011246407.0,0.3755,600519,贵州茅台,2.000971437823207
2020-02-07,6945.5740113,6990.94701,6887.2187526,6984.45588,3127871,3348894576.0,0.249,600519,贵州茅台,0.46685340802989916
2020-02-10,6893.58006,6975.368298,6862.422636,6922.7252337,3053342,3251908506.0,0.2431,600519,贵州茅台,-0.8838289962825319
2020-02-11,6900.07119,7138.1658384,6898.772964,7127.26074,4791793,5222918915.0,0.3815,600519,贵州茅台,2.9545518476497667
2020-02-12,7068.84057,7132.3887327,7048.5882444,7122.5222151,2812543,3072293973.0,0.2239,600519,贵州茅台,-0.06648451730418836
2020-02-13,7127.26074,7230.4047957,7062.4143513,7081.82283,3035736,3335277425.0,0.2417,600519,贵州茅台,-0.5714181559689058
2020-02-14,7078.2527085,7098.1155663,7030.6078143,7062.34944,2328760,2534568401.0,0.1854,600519,贵州茅台,-0.2749770852429001
