模型,解释对象,变量,系数,标准误,t/z 值,p 值
第一部分：Logit,是否获得贷款,const,-1.0640162312952104,0.08374805756284436,-12.70496608827942,5.549348106924373e-37
第一部分：Logit,是否获得贷款,collateral,2.55905964535372,0.18050464665561233,14.177250795300525,1.2671424250753803e-45
第一部分：Logit,是否获得贷款,bank_access,0.7851355771879365,0.038958291681891744,20.153234222867027,2.520935997426375e-90
第二部分：log-OLS,正贷款金额,const,1.1742121918456803,0.027603324866650514,42.53879550808487,4.036829872097811e-282
第二部分：log-OLS,正贷款金额,collateral,0.7770283397009026,0.05427717606481303,14.315931594765424,2.501654767976648e-44
第二部分：log-OLS,正贷款金额,opportunity,0.4844687742790582,0.010772763188749895,44.97163501978711,9.608242241823636e-306
